tweet_id,timestamp,source,rating_numerator,name,stage,predict_1,probability_1,classify_1,predict_2,probability_2,classify_2,predict_3,probability_3,classify_3,retweet_count,favorite_count
892420643555336193,2017-08-01 16:23:56,Twitter for iPhone,10,Phineas,not classified,orange,0.0970486,False,bagel,0.0858511,False,banana,0.07611,False,8853,39467
892177421306343426,2017-08-01 00:17:27,Twitter for iPhone,10,Tilly,not classified,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True,6514,33819
891815181378084864,2017-07-31 00:18:03,Twitter for iPhone,10,Archie,not classified,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,4328,25461
891689557279858688,2017-07-30 15:58:51,Twitter for iPhone,10,Darla,not classified,paper_towel,0.1702779999999999,False,Labrador_retriever,0.1680859999999999,True,spatula,0.0408359,False,8964,42908
891327558926688256,2017-07-29 16:00:24,Twitter for iPhone,10,Franklin,not classified,basset,0.555712,True,English_springer,0.2257699999999999,True,German_short-haired_pointer,0.175219,True,9774,41048
891087950875897856,2017-07-29 00:08:17,Twitter for iPhone,10,nan,not classified,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.0769021999999999,False,3261,20562
890971913173991426,2017-07-28 16:27:12,Twitter for iPhone,10,Jax,not classified,Appenzeller,0.341703,True,Border_collie,0.199287,True,ice_lolly,0.193548,False,2158,12041
890729181411237888,2017-07-28 00:22:40,Twitter for iPhone,10,nan,not classified,Pomeranian,0.566142,True,Eskimo_dog,0.1784059999999999,True,Pembroke,0.0765069,True,16716,56848
890609185150312448,2017-07-27 16:25:51,Twitter for iPhone,10,Zoey,not classified,Irish_terrier,0.4875739999999999,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,4429,28226
890240255349198849,2017-07-26 15:59:51,Twitter for iPhone,10,Cassie,doggo,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,7711,32467
890006608113172480,2017-07-26 00:31:25,Twitter for iPhone,10,Koda,not classified,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True,7624,31166
889880896479866881,2017-07-25 16:11:53,Twitter for iPhone,10,Bruno,not classified,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False,5156,28268
889665388333682689,2017-07-25 01:55:32,Twitter for iPhone,10,nan,puppo,Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True,8538,38818
889638837579907072,2017-07-25 00:10:02,Twitter for iPhone,10,Ted,not classified,French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True,4735,27672
